---------------------------------
| Contestant  #  | Overall Time |
| Contestant 073 | 71.01568090  |
| Contestant 073 | [15.003724000009242, 25.001119400025345, 20.010173400049098, 11.000664099992719] |
| Contestant 451 | 82.04308340  |
| Contestant 451 | [47.008533100015484, 10.002279400010593, 11.018015999987256, 14.014254899986554] |
| Contestant 087 | 83.04801850  |
| Contestant 087 | [20.00539150001714, 26.01414189999923, 17.0120167999994, 20.01646830001846] |
| Contestant 410 | 84.02022510  |
| Contestant 410 | [17.006560100009665, 20.00031759997364, 28.000426599988714, 19.0129208000144] |
| Contestant 491 | 88.03491510  |
| Contestant 491 | [25.012463100021705, 24.004022900015116, 18.002329999988433, 21.016099100001156] |
| Contestant 013 | 91.02119410  |
| Contestant 013 | [30.00410570000531, 15.005061400006525, 17.002473400032613, 29.009553600044455] |
| Contestant 605 | 91.03382910  |
| Contestant 605 | [11.008430399990175, 24.00666179996915, 21.007482999993954, 35.01125390001107] |
| Contestant 062 | 92.02212210  |
| Contestant 062 | [19.006234999978915, 22.001814600022044, 31.004657500016037, 20.009414999978617] |
| Contestant 385 | 99.02248950  |
| Contestant 385 | [32.00140010000905, 19.007112700026482, 11.002458699978888, 37.01151799998479] |
| Contestant 859 | 99.03242820  |
| Contestant 859 | [28.00962210004218, 25.00570300000254, 26.010085400019307, 20.007017700001597] |
| Contestant 908 | 99.03279740  |
| Contestant 908 | [31.015402899996843, 42.01071509998292, 11.00186419999227, 15.004815199994482] |
| Contestant 792 | 101.03540480 |
| Contestant 792 | [17.000501599977724, 27.006951799965464, 41.01692390005337, 16.01102749997517] |
| Contestant 463 | 104.05061920 |
| Contestant 463 | [11.013096099952236, 10.01235000003362, 31.014084900030866, 52.01108820002992] |
| Contestant 119 | 105.02461440 |
| Contestant 119 | [26.007136500033084, 36.00290560000576, 25.004078699974343, 18.010493600042537] |
| Contestant 069 | 106.03162970 |
| Contestant 069 | [10.008358499966562, 62.0156100000022, 18.002155800000764, 16.005505400011316] |
| Contestant 541 | 106.04290480 |
| Contestant 541 | [20.009425199998077, 23.015684799989685, 49.00938820000738, 14.008406599983573] |
| Contestant 320 | 109.04173600 |
| Contestant 320 | [14.005268300010357, 47.0115929999738, 13.010440799989738, 35.01443390001077] |
| Contestant 712 | 109.03909480 |
| Contestant 712 | [20.01391889998922, 20.011289799993392, 56.007772199984174, 13.00611390004633] |
| Contestant 288 | 111.03454110 |
| Contestant 288 | [10.007693999970797, 22.01193370000692, 22.002667900000233, 57.012245499994606] |
| Contestant 375 | 111.02255510 |
| Contestant 375 | [12.001438299950678, 19.006761499971617, 16.00119460001588, 64.01316069997847] |
| Contestant 764 | 112.03497000 |
| Contestant 764 | [37.01246500003617, 16.003087499993853, 23.013475399988238, 36.00594209996052] |
| Contestant 194 | 113.02255290 |
| Contestant 194 | [66.01281509996625, 11.004254499974195, 19.000475200009532, 17.005008100008126] |
| Contestant 261 | 113.02285610 |
| Contestant 261 | [49.0049792000209, 36.00162629998522, 11.009805899986532, 17.006444700004067] |
| Contestant 066 | 115.02736680 |
| Contestant 066 | [29.00310490000993, 49.00484200002393, 17.01416540000355, 20.005254500021692] |
| Contestant 686 | 115.03338050 |
| Contestant 686 | [42.00820650003152, 23.014526200015098, 10.006601300032344, 40.00404649996199] |
| Contestant 682 | 115.03824810 |
| Contestant 682 | [32.00594119995367, 25.00304449995747, 46.014761200000066, 12.014501199999359] |
| Contestant 752 | 115.02451020 |
| Contestant 752 | [36.00163250003243, 12.008947899972554, 41.01291700004367, 26.00101279997034] |
| Contestant 164 | 116.03350830 |
| Contestant 164 | [28.00254210003186, 41.00424599996768, 11.012055700004566, 36.01466449996224] |
| Contestant 661 | 117.01037170 |
| Contestant 661 | [50.003384999989066, 12.002282799978275, 25.001211099966895, 30.00349280005321] |
| Contestant 868 | 117.02228620 |
